Country,YearsCodePro,DevType,EdLevel,RemoteWork,OrgSize,Employment,ConvertedCompYearly
United States of America,4.0,Cloud infrastructure engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",154000.0
Portugal,3.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",37592.0
United States of America,13.0,Cloud infrastructure engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"5,000 to 9,999 employees","Employed, full-time",240000.0
Ukraine,3.0,"Developer, front-end",Some college/university study without earning a degree,Remote,10 to 19 employees,"Employed, full-time",1234.0
Viet Nam,3.0,Security professional,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",11791.0
Germany,4.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,20 to 99 employees,"Employed, full-time",64444.0
Canada,10.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",94501.0
United States of America,5.0,"Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,500 to 999 employees,"Employed, full-time",178000.0
Italy,15.0,Educator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,100 to 499 employees,"Employed, full-time",29000.0
United States of America,42.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",100 to 499 employees,"Employed, full-time",104000.0
United States of America,1.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",72000.0
United States of America,32.0,Data scientist or machine learning specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",200000.0
New Zealand,3.0,Data engineer,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)",100 to 499 employees,"Employed, full-time",73748.0
United Kingdom of Great Britain and Northern Ireland,28.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",45860.0
United States of America,17.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,500 to 999 employees,"Employed, full-time",220000.0
United States of America,16.0,"Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",270000.0
United States of America,5.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",100 to 499 employees,"Employed, full-time",112000.0
United States of America,9.0,"Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",167000.0
United States of America,31.0,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",150000.0
"Venezuela, Bolivarian Republic of...",3.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",37000.0
United States of America,3.0,Data engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",100 to 499 employees,"Employed, full-time",70000.0
Canada,41.0,Scientist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,2 to 9 employees,"Employed, full-time",36346.0
Brazil,1.0,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",Remote,20 to 99 employees,"Employed, full-time",22378.0
Brazil,4.0,Data scientist or machine learning specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",29838.0
Japan,18.0,Hardware Engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,20 to 99 employees,"Employed, full-time",76373.0
United States of America,8.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",300000.0
United States of America,10.0,Data engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",152000.0
Canada,8.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,100 to 499 employees,"Employed, full-time",68331.0
United States of America,5.0,"Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",2 to 9 employees,"Employed, full-time",115000.0
Argentina,5.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,"5,000 to 9,999 employees","Employed, full-time",68727.0
Japan,0.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)",2 to 9 employees,"Employed, full-time",28640.0
Indonesia,5.0,"Developer, back-end",Some college/university study without earning a degree,Remote,10 to 19 employees,"Employed, full-time",31279.0
Taiwan,36.0,Project manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,20 to 99 employees,"Employed, full-time",52503.0
Canada,5.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"5,000 to 9,999 employees","Employed, full-time",79962.0
United States of America,8.0,System administrator,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",In-person,500 to 999 employees,"Employed, full-time",50000.0
United States of America,2.0,"Developer, AI","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",60000.0
United States of America,12.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",170000.0
United States of America,6.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,20 to 99 employees,"Employed, full-time",175000.0
China,13.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",99342.0
United States of America,15.0,"Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",350000.0
Canada,10.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,20 to 99 employees,"Employed, full-time",87231.0
Taiwan,5.0,Data engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",30884.0
United States of America,6.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,I don’t know,"Employed, full-time",136000.0
Canada,4.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,500 to 999 employees,"Employed, full-time",203540.0
United States of America,9.0,"Developer, back-end",Some college/university study without earning a degree,Remote,100 to 499 employees,"Employed, full-time",154000.0
Singapore,4.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,"5,000 to 9,999 employees","Employed, full-time",110873.0
Indonesia,4.0,"Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",100 to 499 employees,"Employed, full-time",5888.0
Canada,8.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,10 to 19 employees,"Employed, full-time",76328.0
Bangladesh,2.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,20 to 99 employees,"Employed, full-time",5524.0
United States of America,4.0,"Developer, AI","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",200000.0
Poland,3.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",3093.0
Singapore,5.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,2 to 9 employees,"Employed, full-time",73915.0
Argentina,3.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",3000.0
United States of America,12.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,20 to 99 employees,"Employed, full-time",158000.0
United States of America,3.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",65000.0
India,12.0,"Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",83744.0
Brazil,1.0,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,2 to 9 employees,"Employed, full-time",8951.0
United States of America,40.0,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, some in-person)",100 to 499 employees,"Employed, full-time",158000.0
United States of America,9.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,20 to 99 employees,"Employed, full-time",160000.0
Australia,19.0,"Developer, full-stack",Some college/university study without earning a degree,"Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",96456.0
United States of America,3.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,"1,000 to 4,999 employees","Employed, full-time",120000.0
United States of America,4.0,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",250000.0
United States of America,40.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"5,000 to 9,999 employees","Employed, full-time",150000.0
Mexico,4.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,2 to 9 employees,"Employed, full-time",16119.0
Italy,4.0,Other (please specify):,Some college/university study without earning a degree,"Hybrid (some remote, some in-person)",10 to 19 employees,"Employed, full-time",53703.0
United States of America,5.0,"Developer, full-stack","Associate degree (A.A., A.S., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",220000.0
Taiwan,10.0,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,500 to 999 employees,"Employed, full-time",77211.0
United States of America,5.0,Database administrator,Some college/university study without earning a degree,"Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",45000.0
United States of America,6.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",225000.0
Mexico,3.0,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",28161.0
United States of America,48.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,2 to 9 employees,"Employed, full-time",120000.0
Canada,1.0,"Developer, back-end",Some college/university study without earning a degree,"Hybrid (some remote, some in-person)",500 to 999 employees,"Employed, full-time",76328.0
Canada,8.0,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)",20 to 99 employees,"Employed, full-time",94501.0
United States of America,2.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,"10,000 or more employees","Employed, full-time",130000.0
United Kingdom of Great Britain and Northern Ireland,9.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",229298.0
United States of America,11.0,"Developer, back-end",Some college/university study without earning a degree,Remote,"5,000 to 9,999 employees","Employed, full-time",260000.0
United States of America,3.0,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees","Employed, full-time",106000.0
Brazil,5.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",24243.0
United States of America,14.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees","Employed, full-time",140000.0
United States of America,5.0,Designer,Some college/university study without earning a degree,Remote,"1,000 to 4,999 employees","Employed, full-time",72000.0
United States of America,16.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"5,000 to 9,999 employees","Employed, full-time",195000.0
United States of America,7.0,Research & Development role,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","5,000 to 9,999 employees","Employed, full-time",124000.0
United States of America,8.0,"Developer, game or graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",120000.0
United States of America,40.0,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",In-person,10 to 19 employees,"Employed, full-time",165000.0
Mexico,15.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,"Employed, full-time",230000.0
Indonesia,2.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, some in-person)","10,000 or more employees","Employed, full-time",5336.0
Brazil,27.0,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, some in-person)","1,000 to 4,999 employees","Employed, full-time",24243.0
United States of America,16.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,10 to 19 employees,"Employed, full-time",165000.0
New Zealand,30.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,500 to 999 employees,"Employed, full-time",73748.0
